AMP ID,Project Title,Input,Outputs,Impact,Outcome,Status,Date of effectiveness,Actual Start Date,Date of Agreement,District,Donor Agency,Secondary Sector Sub-Sector,Secondary Sector Sub-Sub-Sector,Secondary Sector,Primary Sector Sub-Sub-Sector,Primary Sector Sub-Sector,Primary Sector,Total Actual Commitments,Total Actual Disbursements
  8723892402,Promotion of Quality Cocoon Production and Processing Project,"The main activities are capacity building of farmers on mulberry plantation, cultivation, harvesting, post-harvesting, and market promotion of silk items and NGO capacity building to organize and support farmers.","1. The standardized technology for Quality Cocoon Production, Cocoon Quality Inspection and post cocoon harvest is established. 2. The capacity of Seri-farmers, Government technicians and NGO staff for promoting Quality Cocoon Production and Cocoon Inspection technology are strengthened. 3. The linkage among Governmental Agency, NGO and Private Entrepreneur are strengthened.",1. The model for quality cocoon and silk production are replicated to other parts of Nepal 2. The income of seri-farmers and workers around seri-farmers is increased through the improvement,"Quality Cocoon Production in the target/model area is verified through capacity building and strengthening of the linkage among seri-farmers, Government technicians, NGOs, Private entreprenieurs and other stakeholders",Completed,,,,Dhading (Dhading Besi),Japan International Cooperation Agency,"Agriculture, forestry, fishing and hunting", ,ECONOMIC AFFAIRS, , ,AGRICULTURE,1551349.277,2139957.465
  8723892513,Technical support and dissemination of alternative fuel firewood and oil,"Main activites will be training, expert support and equipment support to produce bio-briquet.",1. Improved bio-briquet production in target area. 2. Cooking oven and bio-briquet burner improved. 3. Bio-briquet recognized in target area and its use promoted.,Increase of bio-briquet production and use in rural and urban areas.,1. Stable production of high quality bio-briquet. 2. Improved income of bio-briquet producers. 3. Use of bio-briquet promoted.,Completed,,21/07/2009,," - Kathmandu (Kathmandu)
 - Khotang (Diktel)",Japan International Cooperation Agency,Fuel and energy, ,ECONOMIC AFFAIRS, , ,ALTERNATE ENERGY,180091.192,195849.983
  8723892529,Promoting Quality Eduction through Community Based School Management, , , , ,Completed,,01/11/2009,," - Dhanusa (Janakpur)
 - Mahottari (Jaleswor)",Japan International Cooperation Agency, , ,EDUCATION, , ,EDUCATION,543997.128,591033.236
  87238113473,"Capacity Building of Water and Sanitation User’s Committee (WSUC) for Pro Poor Service Delivery in Selected Five Small Towns and Development of Management Information System for all Towns: Tulsipur, Birendranagar, Kohalpur, Attariya and Mahendranagar.",Capacity building activities in various disciplines to WUSCs for sustainable delivery of safe drinking water supply and sanitation services;  Support for pro-poor service delivery by establishing modest financial mechanism;  Establishment of water quality monitoring system and improvement in water quality;  Development of Billing Software;   Initiate awareness program for private tap connection and toilet construction;  Develop MIS of all 29 towns.,Increased technical and management capability of WUSCs for better service delivery;  Increased sanitation and water supply coverage for the poor through establishing mechanisms of Revolving Fund;  Improved environmental sanitation conditions through implementation of Community Led Total Sanitation (CLTS) programmes and awareness programmes;  Acceleration of private tap connection;  Establishment of water quality monitoring system;  Develop MIS of all 29 towns.,Sustainable pro poor service delivery by WUSCs,Capacity of WUSCs in technical and management aspects has been enhanced and water and sanitation services are delivered to communities more efficiently and adequately;  Health and Hygiene conditions of the communities have improved through the utilization of revolving fund schemes to establish tap connection and sanitation facilities at the poor households also;  Poor and disadvantage communities will have access to improved drinking water and sanitation services with enhanced knowledge and capacity through CLTS and SLTS;  Water and sanitation services have reached as target set by the STWSSSP;  Water Quality Monitoring System operated and managed by community;  Sustainable functioning of water supply facilities installed by the project with improved water quality;  Management Information System (MIS) of all 29 towns developed and updated regularly to maintain database system for progress monitoring of the STWSSSP.,Completed,16/09/2007,16/09/2007,16/09/2007," - Banke (Nepalgunj)
 - Dang Deukhuri (Ghorahi)
 - Kailali (Dhangadhi)
 - Kanchanpur (Mahendara Nagar)
 - Surkhet (Surkhet)",United Nations Human Settlements Programme,Water supply, ,HOUSING AND COMMUNITY AMENITIES, , ,DRINKING WATER,194500,194500
  87238113681,"Demonstration of Community Rain Water Recharge Techniques in Patan, Nepal","Improvement of traditional pond recharge system 3 selected ponds namely Nhu Pukhu and Saptapatal Pukhu at Lagankhel in Lalitpur;   Installation of at least 20 community level recharge wells and pits;  Establishment of rain water harvesting demonstration site at Nhu Pukhu of Patan;  Capacity Building at municipal level, community level and household level.","Establishment of Pond Management Committee;  Survey and Design for Establishing Pond Recharge System in Purnachandi Pond, Saptapatal Pond and Nhu Pukhu;  Establishment of Pond Recharge System in Purnachandi Pond;    Installation of Recharge Wells and Recharge Pits;  Installation of Pond Recharge System at Nayekhyo;    Establishment of the Rainwater Harvesting Demonstration Site at Central Zoo.",Upscaling of ground water recharge techniques,Rate of groundwater recharge increased in selected locations through the established recharge pits;   Local people manage and utilize rainwater;   General mass are aware about RWH system through promotional activities and resource materials;   Research on the potential area for recharge conducted and the design of recharge pits on hand;   Municipal staff capacititated in RWH system.,Completed,25/11/2009,25/11/2009,25/11/2009,Lalitpur (Patan),United Nations Human Settlements Programme,Water supply, ,HOUSING AND COMMUNITY AMENITIES, , ,DRINKING WATER,65570,61459
  87238113684,Integrating Water and Sanitation Services to Urban Poor Communities in two Municipalities of Nepal,"The project aims to support the following number of people of the poor urban settlements based on the poverty mapping report and field assessment of Kamalamai and Itahari Municipalities:   A total of 5 settlements in wards 11 and 12 with population of 3193 (623 households(HHs)) where more than 65% people are below the poverty line;  A total of 17 settlements of urban poor and squatter communities in four different wards with population of 911HHs.   The major activities are-   Based on the preparation and assessment of water, environmental sanitation and hygiene improvement plan, provide safe water, affordable adequate sanitation and hygiene education to the targeted people of Kamalamai and Itahari Municipalities;  Reduce the burden of collecting water, ensure equity of distribution, increase optimization of water use and reduce water borne diseases as well as increase dignity;  Increase the capacity of civil society groups and 2 municipalities to work together to effectively implement water and sanitation improvement plans and promote environmental sanitation;  Based on the lessons learnt, contribute in effective engagement and influencing municipal and central level urban water and sanitation programming and monitoring activities.","Preparation of participatory water, sanitation and hygiene improvement plans for the selected communities of 2 municipalities;   Implementation of water and sanitation facilities that will support in improving the environmental health and sanitation situation and sanitation practices of the target communities;   The projects will also demonstrate good practices and technologies for replication in other municipal areas;  Reduction in the point prevalence rate of water-borne diseases and among target households by 15%;  Increased coverage of water and sanitation facilities resulting through increased awareness and capacities of both government and non-government actors to deliver services as per plans.",Institutionalize pro poor water and sanitation governance at municipal authorities,"Based on the preparation and assessment of water, environmental sanitation and Hygiene improvement plan, provide safe water, affordable adequate sanitation and hygiene education to following people of Kamalamai and Itahari Municipalities;  Reduce the burden of collecting water, ensure equity of distribution, increase optimization of water use and reduce water borne diseases;   Through the achievement of a sanitized urban environment and improved hygiene behaviour practices reduce public health risk and diseases, as well as increase dignity;   Increase the capacity of civil society groups and 2 Municipalities to work together to effectively implement water and sanitation improvements plans and promote environmental sanitation;  Based on the lessons learnt, contribute in effective engagement and influencing Municipal and central level urban water and sanitation programming and monitoring activities.",Completed,23/10/2009,23/10/2009,23/10/2009," - Sindhuli (Sindhuli Madhi)
 - Sunsari (Inaruwa)",United Nations Human Settlements Programme,Water supply, ,HOUSING AND COMMUNITY AMENITIES, , ,DRINKING WATER,160000,94133
  872381432874,TA 8173-NEP: Strengthening Public Management Capacity,"Enhancement of efficiency, transparency and integrity of public expenditures.    Fiscal discentralization and Good Governance.    Easy access of people to public goods and services",Improved local budget and fiscal management.    Strengthening sub-national fiduciary risk management.    Enhancement of public procurement system.    Strengthening accountability.,"Effectiveness of delivery of public goods and serveces in Nepal, especially at the local level will be improved.","The efficiency, transparency and integrity of Nepal&#39;s public finance will be enhanced.",pipeline,30/08/2012,30/08/2012,30/08/2012, ,Asian Development Bank, , ,GENERAL PUBLIC SERVICE, , ,GENERAL ADMINISTRATION, , 
  872381072915,"TFD-10/NEP/003: Improving nutritional status of children by demonstrating kitchen garden model in schools and its vicinity, Palpa","Community people will start vegetable and mushroom farming after technical and input support. There will be one kitchen garden in each family, not less than in 0.3 rapani (20 ropani=1 Ha) of land at household level and one common farm in leaseland in five ropani. There will be vegetable farming in around 20 ropani of land, small plastic house in each HH for mushroom farming and 1500 fingerlings will be intorduced in the poud.","The expected out put of the project are as follows:      - Students and teachers of Laxmi school will be trained on kitchen gardening and nutrition   - 39 HHs of the community and students/techers of school will be trained on kitchen gardening and mushroom farming   - Vegetable farming (kitchen gardening) will be started in around 30 ropani land   - One combined learning plot will be established by the community   - Rain water harvesting pond will be constructed to help conserve water and to utilize for irrigation as well as for fish farming.   - revolving fund in the community will be established   - Nutrition status of the 92 school children and community people will be improved consuming various seasonal vegetables, including mushroom and also earn additional income by selling remaining products.",The overall impact of the project is to improve the nutritional status of the project community people.,"To trained Technical training on vegetable/kitchen gardening, Mushroom farming and fish including marketing.",On-Going,15/01/2012,01/03/2012,14/12/2011,Rupandehi (Bhairahawa),Food and Agriculture Organization,Social protection n.e.c., ,SOCIAL PROTECTION, , ,"WOMEN, CHILDREN & SOCIAL WELFARE", , 
  87238111554,51-11444001-KAT (Education) Improving literacy for sustainable development with particular focus on women and disadvantaged groups within the framework of LIFE,Improving literacy for sustainable development with particular focus on women and disadvantaged groups within the framework of LIFE,"N°  Performance indicator(s)  (a maximum of three)  Means of verification  (data source) (Optional)  Programmed benchmark  (on basis of baseline data if available (1))      1  Capacity of CLC members strengthened         UNESCO progress reports, NFEC annual progress report     50 CLC members trained on CLC management and identified skills development         2  Reading habit of local community members enhanced  UNESCO progress reports, NFEC annual progress report     2500 community members benefit from 25 reading corners/libraries      3  Linkages between CLCs and CMCs established     UNESCO progress reports, NFEC annual progress report     10 CLCs and CMCs establish linkages in two selected districts.      (1) The baseline is to be indicated next to the benchmark in brackets.             Expected Result N°2:   Selected members of disadvantaged groups become functionally literate and learn appropriate livelihood skills for empowerment. NFEC improves coordination and partnership with literacy and non-formal education providers through advocacy and networking.        N°  Performance indicator(s)  (a maximum of three)  Means of verification  (data source) (Optional)  Programmed benchmark  (on basis of baseline data if available (1))      1  Number of persons acquired functional literacy skills       UNESCO progress reports and NFEC annual report  100 persons acquireed functional literacy skill      2  Coordination and partnership among literacy and NFE providers improved.     UNESCO progress reports and NFEC annual report  cordination and partnership enhansed with 30 literacy and NFE vproviders","  Training of CLC management committee members and Social Mobilizers' enhanced their knowledge and understanding on CLC management, leadership, fund raising, IG activities, community mobilization etc. contributing to develop CLCs as potential venue for the delivery of NFE services and promotion of learning environment at community level.    Use of draft CLC management hand book in training and collaboration with NFEC contributed in finalizing the hand book, incorporating the feedbacks from the training. NFEC and other NGOs are using this hand book for the traing of CLC managers.    Strengthening CLCs in the management of libraries /reading corners develops their capacity on managing libraries/reading corners effectively and to develop the reading habit of community members, contributing to engage in lifelong learning and create a literate environment. The training package designed during the project to provide training on library management will be used to provide training to other CLCs.    Development of tri-lingual approach in literacy programme provides opportunity to illiterate adults from disadvantaged and linguistic minority groups to learn in their mother tongue (L1), opening their horizon to move towards learning their local dominant language (L2) and to national language( L3). This innovation is helpful in expanding literacy opportunity to the people from disadvantaged cast and ethnic groups to acquire literacy skills in local as well national language contributing in raising the level of literacy. This also enables neo- iterates to communicate to the local as well as broader community.     Events organized on the occasion of IML Day, WTS campaign and EFA GAW raise the level of awareness of parents, children, teachers, literacy facilitators and literacy graduates and improve partnership with government, NGOs and civil society organization, contributing to work together for achieving the goals of EFA.    Challenges/lessons learnt:     Developing materials in Tri-lingual approach pose considerable challenge in terms of human resources, especially at local level.    There is an enormous need of resource (human as well as financial) to develop capacity at all levels.    Application of knowledge and skills gained requires strong committeemen of participants and constant support from centre and field level offices.    Cost effectiveness and sustainability     Collaboration with NFEC and local NGOs in sharing the cost has contributed to the cost effectiveness and sustainability    Involvement of CLCs, NFEC, DEOs and local NGOs has developed ownership towards the programme, contributing to its sustainability","  Building capacity of CLC management committee members including Social Mobilizers enhances leadership, management and sustainability skills for the effective service delivery and promotion of learning environment at community level.     Building capacity of CLCs in the management of libraries /reading corners develops knowledge on managing effective libraries/reading corners at CLC level to provide better services to the community embers including neo literates.     Developing modality of tri-lingual approach in literacy programme strengthens the provision of basic education for ethnic minority people through relevant and comprehensive functional literacy programme. This underpins mother tongue, local language (different than mother tongue) and national language (different than mother tongue and local language) for being able to communicate to the local as well as broader community.     UNESCO's global initiative on Adult Learning Documentation and Information Network (ALADIN) contributes to develop networking among key governmental and non governmental organization including libraries for documentation and sharing knowledge to promote equitable access to appropriate learning and life skills in accordance with EFA goal 3.   Challenges/lessons learnt:     There is an enormous need of resource (human as well as financial) to develop capacity at all levels.    Application of knowledge and skills gained requires strong committeemen of participants and follow up support from centre and field level offices.    Collaboration with Department of Education and NFEC in sharing the cost has contributed to the cost effectiveness and sustainability    Involvement and CLCs has develop their capacity and ownership contributing to sustainability",Completed,01/01/2010,01/01/2010,01/01/2010, ,"United Nations Educational, Scientific and Cultural Organization", , ,EDUCATION, , ,EDUCATION,40000,53241
  87238111555,51-12400015-KAT (Education) Support Nat effort for assessing secondary education policy in light of School Sector Reform Prog (SSRP),Support National efforts for assessing secondary education policy in light of School Sector Reform Programme (SSRP),"A study on secondary education conducted and strategies to improve access and participation of girls and disadvantaged groups proposed and discussed among policy makers and programme implementers.     Annual Strategic Implementation Plan (ASIP) and Status Report, Department of Education,   UNESCO progress reports     A study report produced and education officials at both central and regional levels informed of the findings and participated in the policy discussion               A study on secondary education conducted and strategies to improve access and participation of girls and disadvantaged groups proposed and discussed among policy makers and programme implementers.     Annual Strategic Implementation Plan (ASIP) and Status Report, Department of Education,   UNESCO progress reports     A study report produced and education officials at both central and regional levels informed of the findings and participated in the policy discussion               Number of persons including GFPs trained on inclusive education and gender within the framework of SSRP             ASIP and Status Report, UNESCO progress reports     250 persons trained      2  Number of advocacy materials produced and disseminated.     ASIP and Status Report, UNESCO progress reports     2 types of advocacy materials developed, produced and disseminated","  A study on transition from primary to secondary education was undertaken to provide policy support to MOE. This is a part of UNESCO HQ's initiatives to prepare UNESCO policy briefs on secondary education. Key findings of this report will be shared among policy makers and programme implimentors to improve access and participation of girls and disadvantaged groups in secondary education.     In support of UNICEF the study report on Situation Analysis of Gender Responsive Budgeting in Education Sector was published. This study was undertaken jointly by MOE, UNICEF and UNESCO. A workshop was organized to disseminate the findings of the study to policy makers and practitioners     In partnership with DOE and UNICEF three days training to gender focal points was provided in five development region of the country. The training focused on promoting inclusive education and gender equality in school education.      Support provided to DOE, inclusive education section in to provide three days training on sign language and inclusive education to school teachers and education officials at district levels. National deaf association facilitated the training     Updated version of GENIA toolkit was translated into Nepali languages and distributed. Advocacy and dissemination of the GENIA toolkit were undertaken jointly with the government counterparts and UNGEI especially UNICEF and UNFPA.     In collaboration with the MOE, the National Planning Commissions and the University Grants Commissions of Nepal, a two days conference on higher education was organized. The contents of the conference included governance and management, financing, aces and equity and quality of higher education. Experts from IIEP- Paris and World Bank provided support.","Progress     The study on transition from primary and secondary education enhanced the understanding of policy makers and programme implementers' to improve policies and strategies for increased acess and participation of girls and disadvantaged groups in secondary education. The study indentified lack of indicators in relation to measuring the progress on transition from primary to secondary education.    The study report on situation analysis of Gender Responsive Budgeting in Education Sector provided insight to the MOE in gender responsive planning and implementation of their programme activities    Capacity building of gender focal points will enhance their knowledge and skills to ensure gender responsive planning and implementation of programme.    Training on inclusive education and sign language to teachers and education officials provided orientation on newly developed sign languages and different aspect of inclusive education, contributing to improve teaching learning at schools.    Dissemination of gender toolkit has enhanced has understanding and knowledge among gender focal points, education officials, NGOs and civil society organizations on gender related issues and programming through gender lens.    The conference on higher education provided inputs to MOE for the development of a comprehensive higher education policy in Nepal.   Challenges/Lessons learnt;     Frequent transfers of trained Gender Focal Points at central and district levels have adverse effects on the effective implementation of the programme and promotion of gender related activities     It is difficult to implement the findings and recommendations of studies due to lack of capacity and slow systemic reform process. Reaching schools to improve teaching learning is a huge challenge that requires sustained efforts.     Involvement of relevent organizations contributues to reach broader audiences in the promotion of inclusive education and gender equality.   Cost Effectiveness and Sustainability    Collaboration with Department of Education and UNICEF in sharing the cost has contributed to the cost effectiveness and sustainability.",Completed,01/01/2010,01/01/2010,01/01/2010, ,"United Nations Educational, Scientific and Cultural Organization", , ,EDUCATION, , ,EDUCATION,50000,70887
  8723892512,"Village Development for Kavrepalanchok, Sindhupalchok and Makawanpur districts","Main activities are building awareness and supporting the target community in bio-gas, organic vegetables, trading, plantation, etc.",1. Better understanding about ecology in target villages 2. Sustainable use of natural resources amoung bio-gas users 3. Organic vegetable production promoted among women 4. Community participation promoted 5. Better understanding about eco-tourism among target villages,"LIving environment improved in Kavrepalanchok, Sindhupalchok and Makawanpur districts","Replication of evnvironmental preservation system developed in Kavrepalanchok, Sindhupalchok and Makawanpur districts",Completed,,26/01/2010,," - Kavrepalanchok (Dhulikhel)
 - Makwanpur (Hetauda)
 - Sindhupalchok (Chautara)",Japan International Cooperation Agency,"Agriculture, forestry, fishing and hunting", ,ECONOMIC AFFAIRS, , ,LOCAL DEVELOPMENT,298382.072,325696.692
