Year,donorcode,donorname,agencycode,agencyname,crsid,projectnumber,initialreport,recipientcode,recipientname,regioncode,regionname,incomegroupcode,incomegroupname,flowcode,flowname,bi_multi,category,finance_t,aid_t,usd_commitment,usd_disbursement,usd_received,usd_commitment_defl,usd_disbursement_defl,usd_received_defl,usd_adjustment,usd_adjustment_defl,usd_amountuntied,usd_amountpartialtied,usd_amounttied,usd_amountuntied_defl,usd_amountpartialtied_defl,usd_amounttied_defl,usd_IRTC,usd_expert_commitment,usd_expert_extended,usd_export_credit,currencycode,commitment_national,disbursement_national,shortdescription,projecttitle,purposecode,purposename,sectorcode,sectorname,channelcode,channelname,channelreportedname,geography,expectedstartdate,completiondate,longdescription,gender,environment,trade,pdgg,FTC,PBA,investmentproject,assocfinance,biodiversity,climateMitigation,climateAdaptation,desertification,commitmentdate,typerepayment,numberrepayment,interest1,interest2,repaydate1,repaydate2,grantelement,usd_interest,usd_outstanding,usd_arrears_principal,usd_arrears_interest,usd_future_DS_principal,usd_future_DS_interest
2011,1,Austria,8,ADA,2010500006b,1980-02/2010-geo2,3,660,Nepal,,,10016,LDCs,11,ODA Grants,1,10,110,C01,0.0,0.41717894883203566,-0.0,0.0,0.41717894883203566,-0.0,,,0.0,,0.0,0.0,,0.0,,,,,918,0.0,0.3000351,FRAME AGREEMENT FOR CO-FINANCING NGO ANNUAL PROGRAMME 2010-2012: WOMEN EMPOWERMENT FOR TRANSFORMATION IN THE CHURIA AREA,Frame agreement for co-financing NGO annual programme 2010-2012: Women empowerment for transformation in the Churia area,15170,Women's equality organisations and institutions,151,I.5.a. Government & Civil Society-general,22000,NATIONAL NGOs,CARE sterreich,Churia,2010-01-01 00:00:00,2012-12-31 00:00:00,Rahmenprogramm Care 2010-2012: SAKCHAM: Women empowerment for transformation in the Churia area,2,0,,2,1,,,,0,0,0,0,,,,,,,,,,,,,,
2011,1,Austria,8,ADA,2009500060,2325-08/2009,3,660,Nepal,,,10016,LDCs,11,ODA Grants,1,10,110,C01,0.0,7.8559510567297007E-3,-0.0,0.0,7.8559510567297007E-3,-0.0,,,0.0,,0.0,0.0,,0.0,,,,,918,0.0,5.6500000000000005E-3,NGO/EU COFINANCE: DISEASTER PREVENTION PROGRAMME IN RURAL AREAS IN WESTERN NEPAL FOR MARGINALIZED GROUPS,NGO/EU cofinance: Diseaster prevention programme in rural areas in Western Nepal for marginalized groups,74010,Disaster prevention and preparedness,740,VIII.3. Disaster Prevention & Preparedness,22000,NATIONAL NGOs,CARE sterreich,Doti & Kailali district,2009-06-15 00:00:00,2011-03-15 00:00:00,NRO/EU-Kofinanzierungsprojekt: SAMADHAN - Gemeinschaftsbezogene Katastrophenvorsorge fr marginalisierte Gruppen in West-Nepal,1,2,,0,,,,,0,0,2,0,,,,,,,,,,,,,,
2011,1,Austria,8,ADA,2010500001bn,0894-00/2009-geo40,3,660,Nepal,,,10016,LDCs,11,ODA Grants,1,10,110,D02,0.0,0.21513137750278089,-0.0,0.0,0.21513137750278089,-0.0,,,0.0,,0.0,0.0,,0.0,,,,,918,0.0,0.15472248669999999,HIGHER EDUCATION COOPERATION PROGRAMME APPEAR - ACADEMIC PARTNERSHIP WITH  TRIBHUVAN UNIVERSITY  IN KATHMANDU,Higher education cooperation programme APPEAR - Academic partnership with  Tribhuvan University  in Kathmandu,11420,Higher education,114,I.1.d. Post-Secondary Education,22000,NATIONAL NGOs,AD GmbH,Kathmandu,2011-07-17 00:00:00,2014-07-16 00:00:00,Higher education cooperation programme APPEAR - Academic partnership with  Tribhuvan University  in Kathmandu,1,0,,0,1,,,,0,0,0,0,,,,,,,,,,,,,,
2011,1,Austria,8,ADA,2008500065,2325-01/2008,3,660,Nepal,,,10016,LDCs,11,ODA Grants,1,10,110,C01,0.0,0.157119021134594,-0.0,0.0,0.157119021134594,-0.0,,,0.0,,0.0,0.0,,0.0,,,,,918,0.0,0.113,NGO/EU COFINANCE: STRENGTHENING OF WOMENS ORGANISATIONS IN CHURIA,NGO/EU cofinance: strengthening of womens organisations in Churia,15170,Women's equality organisations and institutions,151,I.5.a. Government & Civil Society-general,22000,NATIONAL NGOs,CARE sterreich,Churia,2008-01-01 00:00:00,2013-06-30 00:00:00,"NRO/EU-Kofinanzierungsprojekt: SHAKTI - Frauenfrderung in Churia, Strkung der Kapazitten von vier Frauen-Organisationen",2,1,,1,1,,,,0,0,0,0,,,,,,,,,,,,,,
2011,1,Austria,8,ADA,2011500100,2550-12/2011,1,660,Nepal,,,10016,LDCs,11,ODA Grants,1,10,110,C01,0.2780867630700779,0.0,-0.0,0.2780867630700779,0.0,-0.0,,,0.0,,0.2780867630700779,0.0,,0.2780867630700779,,,,,918,0.20000000000000001,0.0,BUSINESS PARTNERSHIP PROGRAM: ORGANIC AND FAIR TRADE CERTIFIED ESSENTIAL OILS FROM NEPAL,Business partnership program: organic and fair trade certified essential oils from Nepal,32161,Agro-industries,321,III.2.a. Industry,52000,Other,Astier Demarest SA,,2011-09-01 00:00:00,2014-08-31 00:00:00,IZW-Projekt: Organische und Fair Trade zertifizierte therische le aus Nepal,1,1,1,0,1,,,,1,0,0,0,2011-10-13 00:00:00,,,,,,,100.0,,,,,,
2011,1,Austria,8,ADA,2010500008a,1980-08/2010-geo1,3,660,Nepal,,,10016,LDCs,11,ODA Grants,1,10,110,C01,0.0,0.30047395717463848,-0.0,0.0,0.30047395717463848,-0.0,,,0.0,,0.0,0.0,,0.0,,,,,918,0.0,0.21610086999999997,FRAME AGREEMENT FOR CO-FINANCING NGO ANNUAL PROGRAMME 2010-2012: RURAL DEVELOPMENT PROGRAMME IN MORANG DISTRICT,Frame agreement for co-financing NGO annual programme 2010-2012: Rural development programme in Morang district,43040,Rural development,430,IV.2. Other Multisector,22000,NATIONAL NGOs,Jugend Eine Welt Austria,Morang,2010-01-01 00:00:00,2012-12-31 00:00:00,Rahmenprogramm Jugend Eine Welt 2010-2012: Lndliches Entwicklungsprogramm im Distrikt Morang,0,0,,0,1,,,,0,0,0,0,,,,,,,,,,,,,,
2011,1,Austria,15,BMWF,2011800094,indst-094/2011,8,660,Nepal,,,10016,LDCs,11,ODA Grants,1,10,110,E02,0.37864208106229147,0.37864208106229147,-0.0,0.37864208106229147,0.37864208106229147,-0.0,,,0.0,,0.37864208106229147,0.0,,0.37864208106229147,,,,,918,0.2723193847,0.2723193847,IMPUTED STUDENTS' COSTS,Imputed students' costs,11420,Imputed student costs,114,I.1.d. Post-Secondary Education,51000,"University, college or other teaching institution, research institute or think-tank",Universities in Austria,,2011-01-01 00:00:00,2011-12-31 00:00:00,Indirekte Studienplatzkosten (33 Pers.),0,0,,0,1,,,,0,0,0,0,2011-01-01 00:00:00,,,,,,,100.0,,,,,,
2011,1,Austria,99,MISC,2011797439,NGO-2011/439,3,660,Nepal,,,10016,LDCs,99,,6,30,110,,,0.72104459121245834,,,0.72104459121245834,,,,,,,,,,,,,,918,,0.51857527000000003,SEMI-AGGREGATE FOR PRIVATE NGO GRANTS TO GIVEN RECIPIENT COUNTRY FOR GIVEN DAC5 SECTOR,Semi-aggregate for private NGO grants to given recipient country for given DAC5 Sector,16010,Social/welfare services,160,I.6. Other Social Infrastructure & Services,22000,NATIONAL NGOs,Austrian national NGOs,,2011-01-01 00:00:00,2011-12-31 00:00:00,"EZA-Leistungen der NGOs, aggregiert nach Empfngerland und DAC-Sektor",,,,,,,,,,,,,,,,,,,,,,,,,,
2011,1,Austria,99,MISC,2011797487,NGO-2011/487,3,660,Nepal,,,10016,LDCs,99,,6,30,110,,,2.4012277530589543E-2,,,2.4012277530589543E-2,,,,,,,,,,,,,,918,,1.7269630000000001E-2,SEMI-AGGREGATE FOR PRIVATE NGO GRANTS TO GIVEN RECIPIENT COUNTRY FOR GIVEN DAC5 SECTOR,Semi-aggregate for private NGO grants to given recipient country for given DAC5 Sector,31110,Agricultural policy & admin. mgmt,311,III.1.a. Agriculture,22000,NATIONAL NGOs,Austrian national NGOs,,2011-01-01 00:00:00,2011-12-31 00:00:00,"EZA-Leistungen der NGOs, aggregiert nach Empfngerland und DAC-Sektor",,,,,,,,,,,,,,,,,,,,,,,,,,
2011,1,Austria,99,MISC,2011797513,NGO-2011/513,3,660,Nepal,,,10016,LDCs,99,,6,30,110,,,2.5753615127919916E-3,,,2.5753615127919916E-3,,,,,,,,,,,,,,918,,0.0018522,SEMI-AGGREGATE FOR PRIVATE NGO GRANTS TO GIVEN RECIPIENT COUNTRY FOR GIVEN DAC5 SECTOR,Semi-aggregate for private NGO grants to given recipient country for given DAC5 Sector,32110,Industrial policy & admin. mgmt,321,III.2.a. Industry,22000,NATIONAL NGOs,Austrian national NGOs,,2011-01-01 00:00:00,2011-12-31 00:00:00,"EZA-Leistungen der NGOs, aggregiert nach Empfngerland und DAC-Sektor",,,,,,,,,,,,,,,,,,,,,,,,,,
2011,1,Austria,99,MISC,2011797582,NGO-2011/582,3,660,Nepal,,,10016,LDCs,99,,6,30,110,,,0.22586772803114577,,,0.22586772803114577,,,,,,,,,,,,,,918,,0.16244407000000002,SEMI-AGGREGATE FOR PRIVATE NGO GRANTS TO GIVEN RECIPIENT COUNTRY FOR GIVEN DAC5 SECTOR,Semi-aggregate for private NGO grants to given recipient country for given DAC5 Sector,43010,Multisector aid,430,IV.2. Other Multisector,22000,NATIONAL NGOs,Austrian national NGOs,,2011-01-01 00:00:00,2011-12-31 00:00:00,"EZA-Leistungen der NGOs, aggregiert nach Empfngerland und DAC-Sektor",,,,,,,,,,,,,,,,,,,,,,,,,,
2011,1,Austria,99,MISC,2011797319,NGO-2011/319,3,660,Nepal,,,10016,LDCs,99,,6,30,110,,,0.15851023706896553,,,0.15851023706896553,,,,,,,,,,,,,,918,,0.1140005625,SEMI-AGGREGATE FOR PRIVATE NGO GRANTS TO GIVEN RECIPIENT COUNTRY FOR GIVEN DAC5 SECTOR,Semi-aggregate for private NGO grants to given recipient country for given DAC5 Sector,15110,Public sector policy and adm. management,151,I.5.a. Government & Civil Society-general,22000,NATIONAL NGOs,Austrian national NGOs,,2011-01-01 00:00:00,2011-12-31 00:00:00,"EZA-Leistungen der NGOs, aggregiert nach Empfngerland und DAC-Sektor",,,,,,,,,,,,,,,,,,,,,,,,,,
2011,1,Austria,99,MISC,2011797221,NGO-2011/221,3,660,Nepal,,,10016,LDCs,99,,6,30,110,,,1.7576473859844274E-2,,,1.7576473859844274E-2,,,,,,,,,,,,,,918,,1.2640999999999999E-2,SEMI-AGGREGATE FOR PRIVATE NGO GRANTS TO GIVEN RECIPIENT COUNTRY FOR GIVEN DAC5 SECTOR,Semi-aggregate for private NGO grants to given recipient country for given DAC5 Sector,12220,Basic health care,122,I.2.b. Basic Health,22000,NATIONAL NGOs,Austrian national NGOs,,2011-01-01 00:00:00,2011-12-31 00:00:00,"EZA-Leistungen der NGOs, aggregiert nach Empfngerland und DAC-Sektor",,,,,,,,,,,,,,,,,,,,,,,,,,
2011,1,Austria,99,MISC,2011797187,NGO-2011/187,3,660,Nepal,,,10016,LDCs,99,,6,30,110,,,0.14911692157953282,,,0.14911692157953282,,,,,,,,,,,,,,918,,0.10724489,SEMI-AGGREGATE FOR PRIVATE NGO GRANTS TO GIVEN RECIPIENT COUNTRY FOR GIVEN DAC5 SECTOR,Semi-aggregate for private NGO grants to given recipient country for given DAC5 Sector,12110,Health policy & admin. management,121,"I.2.a. Health, General",22000,NATIONAL NGOs,Austrian national NGOs,,2011-01-01 00:00:00,2011-12-31 00:00:00,"EZA-Leistungen der NGOs, aggregiert nach Empfngerland und DAC-Sektor",,,,,,,,,,,,,,,,,,,,,,,,,,
2011,1,Austria,99,MISC,2011797117,NGO-2011/117,3,660,Nepal,,,10016,LDCs,99,,6,30,110,,,0.14848442714126811,,,0.14848442714126811,,,,,,,,,,,,,,918,,0.10679000000000001,SEMI-AGGREGATE FOR PRIVATE NGO GRANTS TO GIVEN RECIPIENT COUNTRY FOR GIVEN DAC5 SECTOR,Semi-aggregate for private NGO grants to given recipient country for given DAC5 Sector,11320,Secondary education,113,I.1.c. Secondary Education,22000,NATIONAL NGOs,Austrian national NGOs,,2011-01-01 00:00:00,2011-12-31 00:00:00,"EZA-Leistungen der NGOs, aggregiert nach Empfngerland und DAC-Sektor",,,,,,,,,,,,,,,,,,,,,,,,,,
2011,1,Austria,99,MISC,2011797059,NGO-2011/059,3,660,Nepal,,,10016,LDCs,99,,6,30,110,,,0.11162454115684095,,,0.11162454115684095,,,,,,,,,,,,,,918,,8.0280370000000004E-2,SEMI-AGGREGATE FOR PRIVATE NGO GRANTS TO GIVEN RECIPIENT COUNTRY FOR GIVEN DAC5 SECTOR,Semi-aggregate for private NGO grants to given recipient country for given DAC5 Sector,11110,Education policy & admin. management,111,"I.1.a. Education, Level Unspecified",22000,NATIONAL NGOs,Austrian national NGOs,,2011-01-01 00:00:00,2011-12-31 00:00:00,"EZA-Leistungen der NGOs, aggregiert nach Empfngerland und DAC-Sektor",,,,,,,,,,,,,,,,,,,,,,,,,,
2011,1,Austria,99,MISC,2011988202,aggregate,8,660,Nepal,,,10016,LDCs,11,ODA Grants,1,10,110,C01,8.4260289210233586E-3,8.4260289210233586E-3,-0.0,8.4260289210233586E-3,8.4260289210233586E-3,-0.0,,,8.4260289210233586E-3,,0.0,8.4260289210233586E-3,,0.0,,,,,918,6.0599999999999994E-3,6.0599999999999994E-3,SMALL-SCALE COMMITMENTS AGGREGATED BY SECTOR AND RECIPIENT COUNTRY,Small-scale commitments aggregated by sector and recipient country,11420,Higher education,114,I.1.d. Post-Secondary Education,50000,OTHER,n.a.,,2011-01-01 00:00:00,2011-12-31 00:00:00,Semiaggregierte Daten je Empfngerland und DAC5-Sektor fr Kleincommitments,,,,,,,,,,,,,2011-01-01 00:00:00,,,,,,,100.0,,,,,,
2011,1,Austria,99,MISC,2011988203,aggregate,8,660,Nepal,,,10016,LDCs,11,ODA Grants,1,10,110,C01,5.5617352614015575E-3,5.5617352614015575E-3,-0.0,5.5617352614015575E-3,5.5617352614015575E-3,-0.0,,,5.5617352614015575E-3,,0.0,5.5617352614015575E-3,,0.0,,,,,918,4.0000000000000001E-3,4.0000000000000001E-3,SMALL-SCALE COMMITMENTS AGGREGATED BY SECTOR AND RECIPIENT COUNTRY,Small-scale commitments aggregated by sector and recipient country,12110,Health policy & admin. management,121,"I.2.a. Health, General",50000,OTHER,n.a.,,2011-01-01 00:00:00,2011-12-31 00:00:00,Semiaggregierte Daten je Empfngerland und DAC5-Sektor fr Kleincommitments,,,,,,,,,,,,,2011-01-01 00:00:00,,,,,,,100.0,,,,,,
2011,1,Austria,99,MISC,2011988204,aggregate,8,660,Nepal,,,10016,LDCs,11,ODA Grants,1,10,110,C01,4.6579532814238047E-3,4.6579532814238047E-3,-0.0,4.6579532814238047E-3,4.6579532814238047E-3,-0.0,,,4.6579532814238047E-3,,0.0,4.6579532814238047E-3,,0.0,,,,,918,3.3500000000000001E-3,3.3500000000000001E-3,SMALL-SCALE COMMITMENTS AGGREGATED BY SECTOR AND RECIPIENT COUNTRY,Small-scale commitments aggregated by sector and recipient country,14010,Water resources policy/admin. mgmt,140,I.4. Water Supply & Sanitation,50000,OTHER,n.a.,,2011-01-01 00:00:00,2011-12-31 00:00:00,Semiaggregierte Daten je Empfngerland und DAC5-Sektor fr Kleincommitments,,,,,,,,,,,,,2011-01-01 00:00:00,,,,,,,100.0,,,,,,
2011,1,Austria,99,MISC,2011988205,aggregate,8,660,Nepal,,,10016,LDCs,11,ODA Grants,1,10,110,C01,1.2327683537263628E-2,1.2327683537263628E-2,-0.0,1.2327683537263628E-2,1.2327683537263628E-2,-0.0,,,1.2327683537263628E-2,,0.0,1.2327683537263628E-2,,0.0,,,,,918,8.8660700000000002E-3,8.8660700000000002E-3,SMALL-SCALE COMMITMENTS AGGREGATED BY SECTOR AND RECIPIENT COUNTRY,Small-scale commitments aggregated by sector and recipient country,15110,Public sector policy and adm. management,151,I.5.a. Government & Civil Society-general,50000,OTHER,n.a.,,2011-01-01 00:00:00,2011-12-31 00:00:00,Semiaggregierte Daten je Empfngerland und DAC5-Sektor fr Kleincommitments,,,,,,,,,,,,,2011-01-01 00:00:00,,,,,,,100.0,,,,,,
2011,1,Austria,99,MISC,2011988206,aggregate,8,660,Nepal,,,10016,LDCs,11,ODA Grants,1,10,110,C01,6.9521690767519479E-3,6.9521690767519479E-3,-0.0,6.9521690767519479E-3,6.9521690767519479E-3,-0.0,,,6.9521690767519479E-3,,0.0,6.9521690767519479E-3,,0.0,,,,,918,5.0000000000000001E-3,5.0000000000000001E-3,SMALL-SCALE COMMITMENTS AGGREGATED BY SECTOR AND RECIPIENT COUNTRY,Small-scale commitments aggregated by sector and recipient country,43010,Multisector aid,430,IV.2. Other Multisector,50000,OTHER,n.a.,,2011-01-01 00:00:00,2011-12-31 00:00:00,Semiaggregierte Daten je Empfngerland und DAC5-Sektor fr Kleincommitments,,,,,,,,,,,,,2011-01-01 00:00:00,,,,,,,100.0,,,,,,
2011,1,Austria,99,MISC,2011797641,NGO-2011/641,3,660,Nepal,,,10016,LDCs,99,,6,30,110,,,1.9048943270300336E-3,,,1.9048943270300336E-3,,,,,,,,,,,,,,918,,1.3700000000000001E-3,SEMI-AGGREGATE FOR PRIVATE NGO GRANTS TO GIVEN RECIPIENT COUNTRY FOR GIVEN DAC5 SECTOR,Semi-aggregate for private NGO grants to given recipient country for given DAC5 Sector,72010,Material relief assistance and services ,720,VIII.1. Emergency Response,22000,NATIONAL NGOs,Austrian national NGOs,,2011-01-01 00:00:00,2011-12-31 00:00:00,"EZA-Leistungen der NGOs, aggregiert nach Empfngerland und DAC-Sektor",,,,,,,,,,,,,,,,,,,,,,,,,,
