iati-identifier,hierarchy,last-updated-datetime,default-language,reporting-org,reporting-org-ref,reporting-org-type,title,description,activity-status-code,start-planned,end-planned,start-actual,end-actual,participating-org (Accountable),participating-org-ref (Accountable),participating-org-type (Accountable),participating-org (Funding),participating-org-ref (Funding),participating-org-type (Funding),participating-org (Extending),participating-org-ref (Extending),participating-org-type (Extending),participating-org (Implementing),participating-org-ref (Implementing),participating-org-type (Implementing),recipient-country-code,recipient-country,recipient-country-percentage,recipient-region-code,recipient-region,recipient-region-percentage,sector-code,sector,sector-percentage,sector-vocabulary,collaboration-type-code,default-finance-type-code,default-flow-type-code,default-aid-type-code,default-tied-status-code,default-currency,currency,total-Commitment,total-Disbursement,total-Expenditure,total-Incoming Funds,total-Interest Repayment,total-Loan Repayment,total-Reimbursement
US-USG-AID-1-NP-3627,1,2013-07-30 00:00:00,en,UNITED STATES,302,Government,n/a,n/a,2,,,2012-10-01,2013-07-30,,,,,,,Agency for International Development,US-1,Government,,,,NP,Nepal,,,,,,,,,1,110,,,,USD,USD,5485,5485,0,0,0,0,0
US-USG-AID-1-NP-49832,1,2013-07-30 00:00:00,en,UNITED STATES,302,Government,BPA,BPA,2,,,2012-10-01,2013-07-30,,,,,,,Agency for International Development,US-1,Government,,,,NP,Nepal,,,,,,,,,1,110,,,,USD,USD,0,337,0,0,0,0,0
US-1-2009019859,,,en,United States Government,US,Government,Protection and Solutions,"Ensure full respect for the rights of the individual and communities in accordance with the letter and the spirit of the relevant bodies of law (international humanitarian, human rights, and refugee law). This involves both legal and practical approaches for implementation in humanitarian situations, including efforts to ensure humanitarian access, incorporate protection strategies in assistance programming and other measures to reduce vulnerability and uphold human dignity for all victims of co [Enterprise - United States Unknown]",2,2009-01-01,2009-12-31,,,,,,United States of America,US-1,Government,U.S. Agency for International Development,US-1,Government,Enterprise - United States Unknown,50000,,NP,Nepal,,,,,72050,Relief co-ordination; protection and support services,,OECD Development Assistance Committee,,,,,,USD,,0,2944479,0,0,0,0,0
GB-COH-871954-183,,,en,Practical Action,GB-COH-871954,International NGO,Poor People Energy Outlook,Poor People Energy Outlook,3,2012-04-01,2013-03-31,,,,,,,,,,,,,,,NP,Nepal,,798,"Asia, regional",,,,,,,,,,,GBP,,0,0,915,-917,0,0,0
GB-1-200604-103,2,2013-12-06 00:00:00,en,Department for International Development,GB-1,Government,Other Initiatives -On Progress (Security Sector Reform Strategy Fund),,4,2009-05-13,2011-04-30,2009-05-13,2011-04-30,,,,UNITED KINGDOM,GB,Government,Department for International Development,GB-1,Government,PUBLIC SECTOR INSTITUTIONS,10000,,NP,Nepal,,,,,15210,Security system management and reform,,OECD Development Assistance Committee,1,110,10,C01,5,GBP,!Mixed currency,18532,0,16491,0,0,0,0
GB-3-PSA NPK 121305,,,en,Foreign & Commonwealth Office,GB-3,Government,Promotion of Investigative Journalism,To provide opportunities to working journalists  to be engaged in practical aspects of investigative journalism with particular focus in two issues- a) rule of law and impunity; b) economic accountability.,,2012-01-01,2012-12-31,,,,,,United Kingdom,GB,Government,Foreign & Commonwealth Office,GB-3,Government,,,,NP,Nepal,,,,,15150,Strengthening civil society,,OECD Development Assistance Committee,,,10,B01,,GBP,,0,17840.00,0,0,0,0,0
US-1-2010035715,,,en,United States Government,US,Government,Maternal and Child Health,"Increase the availability and use of proven life-saving interventions that address the major killers of mothers and children and improve their health and nutrition status, including effective maternity care and management of obstetric complications; prevention services including newborn care, routine immunization, polio eradication, safe water and hygiene, and micronutrients; improved maternal, infant and young child feeding; and treatment of life-threatening childhood illnesses. [through World",2,2010-01-01,2010-12-31,,,,,,United States of America,US-1,Government,U.S. Agency for International Development,US-1,Government,World Health Organisation,41307,,NP,Nepal,,,,,13020,Reproductive health care,,OECD Development Assistance Committee,,,,,,USD,USD,750000,0,0,0,0,0,0
US-1-2010040557,,,en,United States Government,US,Government,Program Support,"Develop and conduct needs assessments, baseline studies, targeted evaluations, special studies or other information-gathering efforts specifically for the design, monitoring and evaluation of USG-funded operating unit wide programs, not for a specific functional objective. This sub-element may also include developing and disseminating best practices and lessons learned, testing demonstration and/or pilot models, public outreach, or the preparation of strategic plans and other short-term programm",2,2010-01-01,2010-12-31,,,,,,United States of America,US-1,Government,U.S. Agency for International Development,US-1,Government,Enterprise - United States Unknown,50000,,NP,Nepal,,,,,13010,Population policy and administrative management,,OECD Development Assistance Committee,,,,,,USD,,0,211,0,0,0,0,0
US-USG-AID-1-NP-44266,1,2013-07-30 00:00:00,en,UNITED STATES,302,Government,GH/OHA - BuCen PAPA  GHA-T-00-08-00002,GH/OHA - BuCen PAPA  GHA-T-00-08-00002,2,,,2012-10-01,2013-07-30,,,,,,,Agency for International Development,US-1,Government,,,,NP,Nepal,,,,,,,,,1,110,,,,USD,USD,0,52104,0,0,0,0,0
US-USG-AID-1-NP-76677,1,2013-07-30 00:00:00,en,UNITED STATES,302,Government,"SAFE WASH, SEBAC NEPAL - Incremental funding and to do budget realignment.","SAFE WASH, SEBAC NEPAL - Incremental funding and to do budget realignment.",2,,,2012-10-01,2013-07-30,,,,,,,Agency for International Development,US-1,Government,,,,NP,Nepal,,,,,,,,,1,110,,,,USD,USD,0,37851,0,0,0,0,0
US-USG-AID-1-NP-80334,1,2013-07-30 00:00:00,en,UNITED STATES,302,Government,n/a,n/a,2,,,2012-10-01,2013-07-30,,,,,,,Agency for International Development,US-1,Government,,,,NP,Nepal,,,,,,,,,1,110,,,,USD,USD,0,126,0,0,0,0,0
GB-1-114088-104,2,2013-12-06 00:00:00,en,Department for International Development,GB-1,Government,Governance Advisor's Cost,,4,2008-07-01,2013-03-31,2008-07-01,2013-03-31,,,,UNITED KINGDOM,GB,Government,Department for International Development,GB-1,Government,Other.,52000,,NP,Nepal,,,,,15110,Economic and development policy/planning,,OECD Development Assistance Committee,1,110,10,C01,5,GBP,!Mixed currency,258392,0,46173,0,0,0,0
DAC-1601-OPP50930,,2014-03-18 00:00:00,en,Bill and Melinda Gates Foundation,DAC-1601,Foundation,World Vision,"to support The CORE Group in their global polio eradication efforts by bridging implementation gaps, improving performance monitoring/management, and building capacity",2,2008-11-01,2014-09-30,,,,,,Bill & Melinda Gates Foundation,DAC-1601,Foundation,Bill & Melinda Gates Foundation,DAC-1601,Foundation,,,,NP;IN;ET;AO,Nepal;India;Ethiopia;Angola,;;;,,,,12250,Infectious disease control,300,OECD Development Assistance Committee,,,,,,USD,,8999542,8147522,0,0,0,0,0
US-USG-PEACE-10-NP-234402,1,2013-09-30 00:00:00,en,UNITED STATES,302,Government,Volunteer Safety and Security,"All costs directly associated with Volunteer and staff safety (preparedness and training), and the physical security of Peace Corps-leased properties.  Includes costs of guard services, security staff, security-related travel, supplies, equipment, physical property upgrades, and the Office of Safety and Security.
",2,,,2012-10-01,2013-09-30,,,,,,,Peace Corps,US-10,Government,,,,NP,Nepal,,,,,,,,,1,110,,,,USD,USD,-15013,10200,0,0,0,0,0
US-1-2009017930,,,en,United States Government,US,Government,Program Design and Learning,"Develop and conduct needs assessments, baseline studies, targeted evaluations, special studies or other information-gathering efforts specifically for the design, monitoring and evaluation of USG-funded programs. This sub-element may also include developing and disseminating best practices and lessons learned, testing demonstration and/or pilot models, or the preparation of strategic plans and other short-term programming tasks. Note: All such activities that are carried out by partners as an in [QED Group, LLC]",2,2009-01-01,2009-12-31,,,,,,United States of America,US-1,Government,U.S. Agency for International Development,US-1,Government,"QED Group, LLC",50000,,NP,Nepal,,,,,43010,Multisector aid,,OECD Development Assistance Committee,,,,,,USD,!Mixed currency,133666,129709,0,0,0,0,0
US-1-2009020864,,,en,United States Government,US,Government,Strengthen Govern and Protect Human Rights,Strengthen Govern and Protect Human Rights [Enterprise - United States Unknown],2,2009-01-01,2009-12-31,,,,,,United States of America,US-1,Government,U.S. Agency for International Development,US-1,Government,Enterprise - United States Unknown,50000,,NP,Nepal,,,,,,,,OECD Development Assistance Committee,,,,,,USD,,0,71,0,0,0,0,0
US-1-2010007501,,,en,United States Government,US,Government,Administration and Oversight,"Supports the following illustrative program-funded costs: salaries of US, FSN, and TCN and other staff such as PSCs, RSSAs, PASAs, CASUs working for the US Government managing, administering, and supporting programs and their program-funded benefits such as housing, travel, transportation, education allowances etc; institutional contractors that provide such staff, rent, IT services, the program-funded share of utilities, staff training costs and the cost of developing and administering training",2,2010-01-01,2010-12-31,,,,,,United States of America,US-1,Government,U.S. Agency for International Development,US-1,Government,Enterprise - Non United States Unknown,50000,,NP,Nepal,,,,,43010,Multisector aid,,OECD Development Assistance Committee,,,,,,USD,,0,1278,0,0,0,0,0
US-USG-AID-1-NP-6556,1,2013-07-30 00:00:00,en,UNITED STATES,302,Government,n/a,n/a,2,,,2012-10-01,2013-07-30,,,,,,,Agency for International Development,US-1,Government,,,,NP,Nepal,,,,,,,,,1,110,,,,USD,USD,0,324207,0,0,0,0,0
SE-6-7400329001-NP-12220,2,2014-03-27 00:00:00,en,Swedish International Development Cooperation Agency,SE-6,Government,SMC frame agreement 2008,Support channeled through SMC to NGOs in Sweden,4,,,2008-01-01,2010-05-01,,,,Sweden,SE,Government,Swedish International Development Cooperation Agency,SE-6,Government,Donor country-based NGO,22000,National NGO,NP,Nepal,,,,,12220,Basic health care,100,OECD Development Assistance Committee,1,110,10,B03,5,USD,,0,5318,0,0,0,0,0
SE-6-5403009107-NP-15150,2,2014-03-27 00:00:00,en,Swedish International Development Cooperation Agency,SE-6,Government,"Save the Children Framework Agreement South 2010- 2011,incl. EU until 2015-Rädda Barnen Barn- och ungdomssatsningen 2011-12",Framesupport to SCS 2010-2011. The decision concerns SCS Development  Cooperation Work in around 40 countries and 3 thematic areas.                                                                                It also contains support to SCS own contribution for EU-cooperation  in the Middle East region,2,,,2010-01-01,2015-06-01,,,,Sweden,SE,Government,Swedish International Development Cooperation Agency,SE-6,Government,Donor country-based NGO,22000,National NGO,NP,Nepal,,,,,15150,Strengthening civil society,100,OECD Development Assistance Committee,1,110,10,B03,5,USD,,0,0,0,0,0,0,0
US-1-2009011821,,,en,United States Government,US,Government,Family Planning and Reproductive Health,"Expand access to high-quality voluntary family planning (FP) services and information, and reproductive health (RH) care. This element contributes to reducing unintended pregnancy and promoting healthy reproductive behaviors of men and women, reducing abortion, and reducing maternal and child mortality and morbidity. [Jhpiego]",2,2009-01-01,2009-12-31,,,,,,United States of America,US-1,Government,U.S. Agency for International Development,US-1,Government,Jhpiego,22000,,NP,Nepal,,,,,13030,Family planning,,OECD Development Assistance Committee,,,,,,USD,USD,500000,0,0,0,0,0,0
GGProj:14748,,2014-02-19 00:00:00,en,GlobalGiving,US-EIN-300108263,International NGO,Treat blood cancer of thousands of people in Nepal,"Bone marrow transplant is an effective treatment for many patients with lymphomas, leukemias, and multiple myelomas. Unfortunately, there is no Stem cell transplant center in Nepal, a country with a population of 30 million.
This project will help train the healthcare professionals (Physicians, nurses and other healthcare professionals) to establish a bone marrow transplant center at the Civil Service Hospital, Nepal.",2,2013-09-01,,,,,,,GlobalGiving,US-EIN-300108263,International NGO,,,,Binaytara Foundation,GGOrg:15873,,NP,Nepal,,,,,,,,,1,,30,C01,,USD,,0,7426,0,0,0,0,0
GGProj:14750,,2014-03-31 00:00:00,en,GlobalGiving,US-EIN-300108263,International NGO,Lifesaving healthcare for remote farming villages,"In the remote village of Rajabas, a young Nepali doctor, assisted by a staff of six and foreign volunteer medical personnel, is providing critical health care to appr. 100 patients/week.  They are part of the new DCWC Community Hospital that has been bringing comprehensive healthcare services to this previously underserved region of 120,000 poor and marginalized subsistence farmers since 2010. Your support is needed to strengthen and continue our crucial work for these villagers of rural Nepal.",2,2013-09-01,,,,,,,GlobalGiving,US-EIN-300108263,International NGO,,,,DCWC Nepal - Development of Children and Women Center,GGOrg:16036,,NP,Nepal,,,,,,,,,1,,30,C01,,USD,,0,22086,0,0,0,0,0
CA-3-S063747PRG,1,2014-03-05 00:00:00,,,CA-3,Government,Canadian Co-operative Association - Programme 2007-2011,"Ce programme vise à aider des ménages pauvres à obtenir une meilleure éducation et à accroître leurs revenus et actifs en travaillant par l'intermédiaire de coopératives, améliorant ainsi leur qualité de vie. L'Association des coopératives du Canada et ses partenaires internationaux sont résolus à offrir les mêmes chances aux deux sexes et à renforcer l'autonomie des femmes et des hommes pauvres par la création d'institutions durables qui appartiennent à leurs membres et qui permettent aux collectivités de se développer. Le programme est bâti sur trois principes : 1) assurer un développement global par la promotion de moyens de subsistance durables; 2) centrer l'essentiel des efforts sur les coopératives, comme structures de transformation essentielles pour le développement; 3) adopter une stratégie de réduction de la pauvreté dans le cadre de laquelle les hommes et les femmes ont les mêmes possibilités et peuvent renforcer leur autonomie à l'intérieur des collectivités.     L'ACDI a versé 437 920 $ de soutien supplémentaire à ce programme pour des activités en Afrique.",4,,,2007-03-01,2011-03-31,,,,Canada,CA,Government,Agence canadienne de développement international,CA-1,Government,,,,ZA;UG;TZ;SV;RW;PH;PE;NP;NI;MW;MN;LK;KH;IN;ID;HN;GY;GT;GH;EC;CR;CN;CA,"South Africa;Uganda;Tanzania, United Republic Of;El Salvador;Rwanda;Philippines;Peru;Nepal;Nicaragua;Malawi;Mongolia;Sri Lanka;Cambodia;India;Indonesia;Honduras;Guyana;Guatemala;Ghana;Ecuador;Costa Rica;China;Canada",;;;;;;;;;;;;;;;;;;;;;;,,,,31194;32130;25010;99820;24081;24040;15150,Agricultural co-operatives;Small and medium-sized enterprises (SME) development;Business support services and institutions;Promotion of development awareness;Education/training in banking and financial services;Informal/semi-formal financial intermediaries;Strengthening civil society,;;;;;;,OECD Development Assistance Committee;OECD Development Assistance Committee;OECD Development Assistance Committee;OECD Development Assistance Committee;OECD Development Assistance Committee;OECD Development Assistance Committee;OECD Development Assistance Committee,1,110,10,C01,,CAD,,19450549,0,0,0,0,0,0
US-USG-AID-1-NP-91275,1,2013-07-30 00:00:00,en,UNITED STATES,302,Government,To authorize Nepal CRS company to utilize the program income to implement GGMS activites. The funds sufficiency date is September 2014.,To authorize Nepal CRS company to utilize the program income to implement GGMS activites. The funds sufficiency date is September 2014.,2,,,2012-10-01,2013-07-30,,,,,,,Agency for International Development,US-1,Government,,,,NP,Nepal,,,,,,,,,1,110,,,,USD,USD,100000,0,0,0,0,0,0
